Date,2023,2022,2021,2020,2019
3/12/2023,"2,527,599","2,293,374","1,345,284","1,519,192","2,545,742"
3/11/2023,"2,279,445","1,998,129","1,227,484","1,485,553","2,274,658"
3/10/2023,"2,562,389","2,299,583","1,409,771","1,714,372","2,634,215"
3/9/2023,"2,397,930","2,185,904","1,286,894","1,788,456","2,503,924"
3/8/2023,"2,125,163","1,851,191","974,221","1,702,686","2,187,298"
3/7/2023,"1,907,186","1,657,723","825,745","1,617,220","2,122,898"
3/6/2023,"2,197,079","2,019,553","1,119,303","1,909,363","2,378,673"
3/5/2023,"2,412,281","2,184,096","1,278,557","2,119,867","2,485,430"
3/4/2023,"2,040,542","1,831,741","992,406","1,844,811","2,156,262"
3/3/2023,"2,375,612","2,139,036","1,168,734","2,198,517","2,543,689"
3/2/2023,"2,299,188","2,053,525","1,107,534","2,130,015","2,402,692"
3/1/2023,"2,062,287","1,740,923","826,924","1,877,401","2,143,619"
2/28/2023,"1,876,825","1,638,699","744,812","1,736,393","1,979,558"
2/27/2023,"2,230,481","1,984,773","1,049,692","2,089,641","2,257,920"
2/26/2023,"2,394,788","2,150,118","1,190,682","2,353,150","2,307,393"
2/25/2023,"2,047,075","1,842,536","917,282","1,949,696","2,015,079"
2/24/2023,"2,413,692","2,104,233","1,096,348","2,441,643","1,861,286"
2/23/2023,"2,317,943","1,988,432","1,051,149","2,364,727","2,160,322"
2/22/2023,"1,998,636","1,755,527","802,230","2,075,554","2,197,938"
2/21/2023,"2,046,424","1,785,417","714,725","1,919,803","2,274,217"
2/20/2023,"2,466,587","2,222,002","963,280","2,267,382","2,331,841"
2/19/2023,"2,314,101","2,068,827","1,115,479","2,380,359","2,415,570"
2/18/2023,"2,053,266","1,826,833","942,238","1,951,535","2,351,856"
2/17/2023,"2,504,187","2,244,042","1,059,452","2,429,489","2,022,861"
2/16/2023,"2,327,313","1,986,581","914,823","2,358,511","2,177,690"
2/15/2023,"2,006,022","1,670,550","773,422","2,129,862","2,476,445"
2/14/2023,"1,670,451","1,541,222","738,825","2,190,300","2,147,045"
2/13/2023,"2,066,634","1,737,532","967,693","2,494,922","1,922,613"
2/12/2023,"2,113,656","1,821,279","946,458","2,198,657","2,227,730"
2/11/2023,"1,809,088","1,538,874","900,696","1,972,248","1,950,385"
2/10/2023,"2,254,803","1,918,436","1,151,420","2,507,588","1,620,239"
2/9/2023,"2,152,183","1,786,323","1,034,514","2,415,185","2,055,827"
2/8/2023,"1,793,794","1,390,835","735,009","2,038,375","2,105,696"
2/7/2023,"1,622,865","1,239,137","617,619","1,814,047","1,648,328"
2/6/2023,"2,033,636","1,592,651","864,783","2,164,951","2,134,744"
2/5/2023,"2,195,570","1,786,681","854,636","2,224,826","2,064,640"
2/4/2023,"1,669,778","1,399,603","705,951","1,770,241","1,756,152"
2/3/2023,"2,102,998","1,583,678","868,624","2,271,551","1,655,868"
2/2/2023,"2,035,923","1,342,502","778,065","2,167,857","2,001,482"
2/1/2023,"1,604,546","1,196,728","618,615","1,843,877","1,792,677"
1/31/2023,"1,531,806","1,203,689","493,338","1,677,798","1,591,591"
1/30/2023,"1,932,014","1,539,356","628,989","2,054,725","2,078,169"
1/29/2023,"2,137,929","1,716,055","859,039","1,948,138","1,938,817"
1/28/2023,"1,649,696","1,070,815","617,489","1,658,886","1,593,697"
1/27/2023,"2,115,222","1,634,225","774,688","2,159,047","1,534,386"
1/26/2023,"2,089,208","1,560,893","750,558","2,085,468","1,862,420"
1/25/2023,"1,671,867","1,200,998","536,935","1,777,171","2,010,374"
1/24/2023,"1,559,251","1,063,856","468,933","1,643,435","1,571,077"
1/23/2023,"1,965,789","1,399,342","701,709","2,004,609","2,052,814"
1/22/2023,"2,135,304","1,649,090","838,116","2,136,584","1,991,328"
1/21/2023,"1,656,540","1,246,901","603,527","1,645,196","1,763,884"
1/20/2023,"2,083,953","1,514,895","755,028","2,145,063","1,804,629"
1/19/2023,"1,993,765","1,470,973","728,978","2,100,401","2,179,066"
1/18/2023,"1,667,112","1,201,768","542,338","1,801,444","1,776,235"
1/17/2023,"1,788,696","1,301,256","560,190","1,870,459","1,600,698"
1/16/2023,"2,115,696","1,704,328","878,048","2,298,616","2,271,398"
1/15/2023,"2,032,496","1,438,492","810,654","2,000,260","2,139,242"
1/14/2023,"1,796,768","1,421,612","690,438","1,781,893","1,786,012"
1/13/2023,"2,299,159","1,741,376","903,039","2,347,075","1,605,758"
1/12/2023,"2,182,659","1,543,648","803,688","2,242,656","1,886,642"
1/11/2023,"1,709,703","1,234,827","567,401","1,876,782","1,970,450"
1/10/2023,"1,671,507","1,129,725","520,117","1,691,205","1,604,862"
1/9/2023,"2,008,182","1,453,110","708,177","1,992,453","1,959,788"
1/8/2023,"2,214,608","1,706,857","886,536","2,183,734","1,955,200"
1/7/2023,"1,906,785","1,450,135","709,444","1,687,974","1,739,642"
1/6/2023,"2,030,131","1,518,098","772,471","2,072,543","1,733,739"
1/5/2023,"2,025,074","1,543,985","771,734","2,034,472","2,044,043"
1/4/2023,"1,981,522","1,501,170","665,855","1,815,040","2,229,391"
1/3/2023,"2,203,005","1,673,499","766,594","1,806,480","1,975,947"
1/2/2023,"2,361,734","1,921,966","1,080,346","2,210,542","2,150,571"
1/1/2023,"2,031,163","2,026,176","1,327,289","2,422,272","2,202,111"
12/31/2022,,"1,932,949","1,616,850","1,192,881","2,178,656"
12/30/2022,,"2,367,709","1,650,795","805,990","2,311,732"
12/29/2022,,"2,168,039","2,049,604","874,406","2,392,331"
12/28/2022,,"2,143,566","2,017,937","1,163,696","2,133,253"
12/27/2022,,"2,163,901","1,995,747","1,019,347","2,009,880"
12/26/2022,,"2,211,993","2,089,186","1,111,751","2,500,396"
12/25/2022,,"1,792,282","2,070,554","1,284,599","2,575,985"
12/24/2022,,"1,827,279","1,533,398","1,128,773","2,470,786"
